,WeekDay Pallet Probabilities,,,,,,,,,,,,
Supermarket,0,1,2,3,4,5,6,7,8,9,10,11,12
Four Square BKs Torbay,0,0.1,0.5,0.4,0,0,0,0,0,0,0,0,0
Four Square Botany Junction,0,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0
Four Square Cockle Bay,0,0.3,0.45,0.25,0,0,0,0,0,0,0,0,0
Four Square Ellerslie,0,0.3,0.4,0.3,0,0,0,0,0,0,0,0,0
Four Square Everglade,0,0.35,0.25,0.4,0,0,0,0,0,0,0,0,0
Four Square Fair Price Henderson,0,0.25,0.45,0.3,0,0,0,0,0,0,0,0,0
Four Square Glen Eden,0,0.1,0.45,0.45,0,0,0,0,0,0,0,0,0
Four Square Great Eastern,0,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0
Four Square Hobsonville,0,0.35,0.35,0.3,0,0,0,0,0,0,0,0,0
Four Square Lancaster,0,0.4,0.25,0.35,0,0,0,0,0,0,0,0,0
Four Square Pakuranga Heights,0,0.3,0.45,0.25,0,0,0,0,0,0,0,0,0
Fresh Collective Alberton,0,0.4,0.25,0.35,0,0,0,0,0,0,0,0,0
New World Albany,0,0,0,0.05,0.25,0.15,0.2,0.25,0,0.05,0.05,0,0
New World Birkenhead,0,0,0,0.25,0.1,0.15,0.25,0.2,0.05,0,0,0,0
New World Botany,0,0,0,0.1,0.1,0.2,0.25,0.2,0.1,0.05,0,0,0
New World Browns Bay,0,0,0,0.15,0.2,0.3,0.25,0.1,0,0,0,0,0
New World Devonport,0,0,0,0.2,0.2,0.2,0.3,0.05,0.05,0,0,0,0
New World Eastridge,0,0,0,0,0.05,0.25,0.5,0.1,0.05,0.05,0,0,0
New World Green Bay,0,0,0,0.05,0.25,0.1,0.3,0.25,0.05,0,0,0,0
New World Howick,0,0,0,0.1,0.2,0.15,0.3,0.2,0,0.05,0,0,0
New World Long Bay,0,0,0,0.15,0.15,0.15,0.4,0.05,0.1,0,0,0,0
New World Metro Queen St,0,0,0,0.15,0.2,0.2,0.3,0.1,0,0,0.05,0,0
New World Milford,0,0,0,0.05,0.15,0.2,0.35,0.15,0.1,0,0,0,0
New World Mt Roskill,0,0,0,0.2,0.15,0.25,0.2,0.1,0.1,0,0,0,0
New World New Lynn,0,0,0,0.1,0.15,0.4,0.2,0,0.15,0,0,0,0
New World Papakura,0,0,0,0.05,0.15,0.15,0.3,0.15,0.1,0.05,0.05,0,0
New World Papatoetoe,0,0,0,0.15,0.1,0.25,0.2,0.15,0.1,0.05,0,0,0
New World Remuera,0,0,0,0.1,0.15,0.25,0.2,0.15,0.15,0,0,0,0
New World Southmall,0,0,0,0.2,0.2,0.1,0.35,0.1,0.05,0,0,0,0
New World Stonefields,0,0,0,0.05,0.15,0.35,0.2,0.1,0.1,0,0.05,0,0
New World Victoria Park,0,0,0,0.1,0.3,0.2,0.25,0.15,0,0,0,0,0
Pak 'n Save Albany,0,0,0,0,0,0.05,0.3,0.2,0.35,0.1,0,0,0
Pak 'n Save Botany,0,0,0,0,0,0,0.15,0.1,0.4,0.2,0.15,0,0
Pak 'n Save Clendon,0,0,0,0,0,0.05,0.15,0.25,0.15,0.1,0.15,0.05,0.1
Pak 'n Save Glen Innes,0,0,0,0,0.05,0.15,0.3,0.05,0.25,0.15,0,0,0.05
Pak 'n Save Henderson,0,0,0,0,0.05,0.1,0.1,0.15,0.25,0.2,0.1,0.05,0
Pak 'n Save Lincoln Road,0,0,0,0,0,0.1,0.1,0.35,0.25,0.15,0.05,0,0
Pak 'n Save Mangere,0,0,0,0,0,0,0.35,0.25,0.05,0.2,0.15,0,0
Pak 'n Save Manukau,0,0,0,0,0,0,0.2,0.15,0.4,0.15,0.1,0,0
Pak 'n Save Mt Albert,0,0,0,0,0,0.05,0.35,0.15,0.15,0.15,0.05,0.1,0
Pak 'n Save Ormiston,0,0,0,0,0.1,0.2,0.15,0.15,0.2,0.05,0.1,0,0.05
Pak 'n Save Papakura,0,0,0,0,0,0.15,0.1,0.25,0.2,0.15,0.05,0.05,0.05
Pak 'n Save Royal Oak,0,0,0,0,0.05,0.2,0.2,0.2,0.2,0.1,0.05,0,0
Pak 'n Save Sylvia Park,0,0,0,0,0,0.05,0.2,0.1,0.4,0.15,0.05,0.05,0
Pak 'n Save Wairau Road,0,0,0,0,0,0.05,0.1,0.4,0.2,0.15,0.1,0,0
Pak 'n Save Westgate,0,0,0,0,0,0.05,0.15,0.25,0.2,0.1,0.15,0.05,0.05
